Key,Timestamp,Interval,Event Type
Key.enter,0.023378372192382812,,release
g,4.448834419250488,,press
g,4.56193995475769,,release
h,4.570939540863037,0.12210512161254883,press
b,4.652107238769531,0.08116769790649414,press
h,4.697946786880493,,release
b,4.749567985534668,,release
d,4.7605719566345215,0.10846471786499023,press
t,4.879093885421753,0.11852192878723145,press
d,4.915644645690918,,release
n,4.999115943908691,0.12002205848693848,press
t,5.011641263961792,,release
n,5.087820291519165,,release
j,6.790635585784912,1.7915196418762207,press
j,6.8598952293396,,release
h,7.351024627685547,0.5603890419006348,press
h,7.422595262527466,,release
e,7.514776706695557,0.16375207901000977,press
e,7.61786675453186,,release
l,7.771417856216431,0.256641149520874,press
l,7.820605993270874,,release
l,7.884179353713989,0.1127614974975586,press
l,7.947344779968262,,release
o,8.075507640838623,0.1913282871246338,press
o,8.122117519378662,,release
Key.space,9.260592937469482,1.1850852966308594,press
Key.space,9.363724708557129,,release
a,9.79525351524353,0.5346605777740479,press
a,9.877912282943726,,release
i,9.902913331985474,0.10765981674194336,press
i,9.980916500091553,,release
s,10.130909204483032,0.2279958724975586,press
s,10.249361038208008,,release
h,10.66465425491333,0.5337450504302979,press
h,10.752826452255249,,release
a,10.755754470825195,0.09110021591186523,press
a,10.838716983795166,,release
Key.space,11.028359651565552,0.27260518074035645,press
Key.space,11.13022518157959,,release
i,12.304856538772583,1.2764968872070312,press
i,12.355368614196777,,release
Key.space,13.66488003730774,1.3600234985351562,press
Key.space,13.76860523223877,,release
a,13.853543758392334,0.18866372108459473,press
a,13.952619075775146,,release
m,14.03343915939331,0.17989540100097656,press
m,14.144025325775146,,release
Key.space,14.570717573165894,0.537278413772583,press
Key.space,14.678707122802734,,release
y,14.992178201675415,0.4214606285095215,press
y,15.084234476089478,,release
o,15.131943464279175,0.13976526260375977,press
o,15.25235629081726,,release
Key.space,15.4729642868042,0.3410208225250244,press
Key.space,15.604958057403564,,release
u,16.23831343650818,0.7653491497039795,press
u,16.398372173309326,,release
Key.space,16.44213056564331,0.20381712913513184,press
Key.space,16.54329824447632,,release
a,16.66418957710266,0.22205901145935059,press
a,16.721033334732056,,release
n,17.031541109085083,0.3673515319824219,press
n,17.129927396774292,,release
d,17.14757204055786,0.11603093147277832,press
Key.space,17.244152307510376,0.09658026695251465,press
d,17.32763671875,,release
Key.space,17.35310196876526,,release
y,17.469154119491577,0.22500181198120117,press
y,17.544609785079956,,release
o,17.60331892967224,0.13416481018066406,press
o,17.716177940368652,,release
u,18.070027351379395,0.4667084217071533,press
u,18.142521142959595,,release
Key.space,18.21217393875122,0.14214658737182617,press
Key.space,18.31256914138794,,release
r,18.46591567993164,0.2537417411804199,press
e,18.58088183403015,0.11496615409851074,press
r,18.597563982009888,,release
e,18.70419216156006,,release
Key.space,19.100247859954834,0.5193660259246826,press
Key.space,19.20278310775757,,release
m,19.48745107650757,0.3872032165527344,press
m,19.60539436340332,,release
e,19.607398748397827,0.11994767189025879,press
e,19.697022199630737,,release
Key.space,19.978740215301514,0.3713414669036865,press
Key.space,20.071515798568726,,release
l,20.203647136688232,0.22490692138671875,press
l,20.28705143928528,,release
m,20.73925232887268,0.5356051921844482,press
m,20.846534252166748,,release
a,20.914569854736328,0.17531752586364746,press
a,21.011087656021118,,release
o,21.094462871551514,0.17989301681518555,press
o,21.160160541534424,,release
o,21.2394962310791,0.1450333595275879,press
o,21.28646230697632,,release
o,21.489304304122925,0.24980807304382324,press
o,21.548957109451294,,release
i,22.60124707221985,1.1119427680969238,press
i,22.65293860435486,,release
l,22.783469438552856,0.1822223663330078,press
l,22.89568281173706,,release
y,22.954869985580444,0.1714005470275879,press
y,23.037627458572388,,release
g,24.60042452812195,1.645554542541504,press
g,24.741673231124878,,release
i,24.85524845123291,0.2548239231109619,press
i,24.92760992050171,,release
r,24.961803197860718,0.10655474662780762,press
r,25.029236555099487,,release
l,25.47978448867798,0.5179812908172607,press
l,25.6124210357666,,release
Key.shift_r,26.155751943588257,0.6759674549102783,press
!,26.294907569885254,0.13915562629699707,press
!,26.404909372329712,,release
Key.shift_r,26.54563879966736,,release
Key.shift_r,27.43491506576538,1.140007495880127,press
!,27.688019275665283,0.25310420989990234,press
!,27.832905530929565,,release
!,28.464436054229736,0.7764167785644531,press
!,28.575464963912964,,release
!,28.921170711517334,0.45673465728759766,press
!,28.995368719100952,,release
!,29.072376489639282,0.15120577812194824,press
!,29.169313669204712,,release
Key.shift_r,29.195476055145264,,release
Key.shift_r,29.358739137649536,0.2863626480102539,press
Key.shift_r,29.44713544845581,,release
Key.shift_r,29.739092111587524,0.3803529739379883,press
Key.shift_r,29.838042974472046,,release
Key.shift_r,30.001806497573853,0.2627143859863281,press
!,30.122517585754395,0.12071108818054199,press
!,30.25184416770935,,release
Key.shift_r,30.336928129196167,,release
Key.shift_r,30.45313286781311,0.3306152820587158,press
Key.shift_r,30.561317920684814,,release
1,30.56432557106018,0.11119270324707031,press
1,30.65051555633545,,release
1,30.76353669166565,0.19921112060546875,press
1,30.85643196105957,,release
Key.shift_r,30.933984518051147,0.17044782638549805,press
Key.shift_r,30.981324195861816,,release
Key.shift_r,31.103477001190186,0.16949248313903809,press
!,31.15923285484314,0.0557558536529541,press
Key.shift_r,31.221034049987793,,release
1,31.22503900527954,,release
Key.shift_r,31.29021167755127,0.13097882270812988,press
!,31.304957151412964,0.014745473861694336,press
!,31.362571001052856,,release
Key.shift_r,31.366571187973022,,release
Key.esc,42.811548709869385,11.506591558456421,press
Key.esc,42.92662191390991,,release
